estado;value
Acre;11.00
Alagoas;35.00
Amapá;5.00
Amazonas;16.00
Bahia;113.00
Ceará;27.00
Distrito Federal;17.00
Espírito Santo;26.00
Goiás;43.00
Maranhão;60.00
Mato Grosso;62.00
Mato Grosso do Sul;39.00
Minas Gerais;150.00
Pará;66.00
Paraíba;36.00
Paraná;73.00
Pernambuco;75.00
Piauí;31.00
Rio de Janeiro;78.00
Rio Grande do Norte;13.00
Rio Grande do Sul;80.00
Rondônia;14.00
Roraima;9.00
Santa Catarina;57.00
São Paulo;179.00
Sergipe;14.00
Tocantins;9.00
